Repository,Age (days),Created Date,Accepted PRs,Releases,Days Since Update,Primary Language,Closed Issues Ratio
freeCodeCamp/freeCodeCamp,3893,2014-12-24,25726,0,0,TypeScript,0.99
codecrafters-io/build-your-own-x,2661,2018-05-09,142,0,0,Markdown,0.72
sindresorhus/awesome,4059,2014-07-11,679,0,0,Unknown,0.96
EbookFoundation/free-programming-books,4332,2013-10-11,6820,0,0,Python,0.97
public-apis/public-apis,3440,2016-03-20,1872,0,0,Python,0.99
kamranahmedse/developer-roadmap,3081,2017-03-15,3693,1,0,TypeScript,0.92
jwasham/coding-interview-university,3363,2016-06-06,415,0,0,Unknown,0.88
donnemartin/system-design-primer,3098,2017-02-26,200,0,0,Python,0.27
996icu/996.ICU,2340,2019-03-26,1067,0,0,Unknown,0
vinta/awesome-python,4073,2014-06-27,544,0,0,Python,0
awesome-selfhosted/awesome-selfhosted,3734,2015-06-01,2394,1,0,Unknown,1.0
practical-tutorials/project-based-learning,3053,2017-04-12,182,0,0,Unknown,0.38
facebook/react,4472,2013-05-24,12128,105,0,JavaScript,0.94
vuejs/vue,4406,2013-07-29,1133,249,0,TypeScript,0.96
TheAlgorithms/Python,3323,2016-07-16,2976,0,0,Python,0.95
torvalds/linux,5100,2011-09-04,10,0,0,C,0
trekhleb/javascript-algorithms,2707,2018-03-24,302,0,0,JavaScript,0.63
tensorflow/tensorflow,3575,2015-11-07,35997,219,0,C++,0.98
ossu/computer-science,4127,2014-05-04,298,0,0,HTML,0.98
trimstray/the-book-of-secret-knowledge,2616,2018-06-23,122,0,0,Unknown,0
getify/You-Dont-Know-JS,4296,2013-11-16,368,0,0,Unknown,0.91
CyC2018/CS-Notes,2746,2018-02-13,374,0,0,Unknown,0.78
ohmyzsh/ohmyzsh,5837,2009-08-28,3377,0,0,Shell,0.97
Significant-Gravitas/AutoGPT,889,2023-03-16,3197,68,0,Python,0.95
microsoft/vscode,3640,2015-09-03,36224,177,0,TypeScript,0.94
twbs/bootstrap,5137,2011-07-29,8972,93,0,MDX,0.98
flutter/flutter,3821,2015-03-06,43829,7,0,Dart,0.89
jackfrued/Python-100-Days,2730,2018-03-01,13,0,0,Jupyter Notebook,0.17
github/gitignore,5400,2010-11-08,1713,0,0,Unknown,0
jlevy/the-art-of-command-line,3746,2015-05-20,317,0,0,Unknown,0.53
AUTOMATIC1111/stable-diffusion-webui,1095,2022-08-22,1874,27,0,Python,0.7
Snailclimb/JavaGuide,2663,2018-05-07,1180,0,0,Java,0.93
ollama/ollama,787,2023-06-26,2470,143,0,Go,0.78
avelino/awesome-go,4064,2014-07-06,3458,0,0,Go,0.99
huggingface/transformers,2488,2018-10-29,16663,223,0,Python,0.94
airbnb/javascript,4676,2012-11-01,810,0,0,JavaScript,0.93
massgravel/Microsoft-Activation-Scripts,2048,2020-01-12,6,24,0,Batchfile,1.0
ytdl-org/youtube-dl,5408,2010-10-31,1642,341,0,Python,0.86
vercel/next.js,3242,2016-10-05,23650,1000,0,JavaScript,0.9
f/awesome-chatgpt-prompts,990,2022-12-05,171,0,0,JavaScript,0
n8n-io/n8n,2252,2019-06-22,10628,382,0,TypeScript,0.88
golang/go,4020,2014-08-19,1,0,0,Go,0.86
labuladong/fucking-algorithm,2010,2020-02-19,238,1,0,Markdown,1.0
yangshun/tech-interview-handbook,3334,2016-07-05,481,0,0,TypeScript,0.64
Genymobile/scrcpy,2830,2017-11-21,113,47,0,C,0.56
521xueweihan/HelloGitHub,3396,2016-05-04,16,57,0,Python,0.92
Chalarangelo/30-seconds-of-code,2822,2017-11-29,827,12,0,JavaScript,1.0
facebook/react-native,3877,2015-01-09,930,410,0,C++,0.98
yt-dlp/yt-dlp,1760,2020-10-26,2906,117,0,Python,0.84
microsoft/PowerToys,2304,2019-05-01,5652,117,0,C#,0.8
electron/electron,4514,2013-04-12,23264,1000,0,C++,0.96
kubernetes/kubernetes,4094,2014-06-06,62232,755,0,Go,0.96
krahets/hello-algo,1021,2022-11-04,945,9,0,Java,0.96
justjavac/free-programming-books-zh_CN,4308,2013-11-04,282,3,0,Unknown,0
langchain-ai/langchain,1039,2022-10-17,14490,947,0,Jupyter Notebook,0.98
nodejs/node,3921,2014-11-26,10758,455,0,JavaScript,0.91
langgenius/dify,862,2023-04-12,7046,140,0,TypeScript,0.94
d3/d3,5442,2010-09-27,493,194,0,Shell,1.0
ripienaar/free-for-dev,3809,2015-03-18,2759,0,0,HTML,0
mrdoob/three.js,5630,2010-03-23,14395,171,0,JavaScript,0.97
axios/axios,4021,2014-08-18,1001,97,0,JavaScript,0.94
open-webui/open-webui,685,2023-10-06,2508,120,0,JavaScript,0.97
rust-lang/rust,5545,2010-06-16,65628,140,0,Rust,0.82
excalidraw/excalidraw,2058,2020-01-02,3699,14,0,TypeScript,0.57
microsoft/TypeScript,4083,2014-06-17,14674,212,0,TypeScript,0.87
goldbergyoni/nodebestpractices,2897,2017-09-15,765,0,0,Dockerfile,0.87
denoland/deno,2655,2018-05-15,13338,342,0,Rust,0.83
langflow-ai/langflow,925,2023-02-08,4622,262,0,Python,0.84
facebook/create-react-app,3322,2016-07-17,1949,83,0,JavaScript,0.78
GrowingGit/GitHub-Chinese-Top-Charts,2177,2019-09-05,0,0,0,Java,0.47
godotengine/godot,4247,2014-01-04,38707,61,0,C++,0.79
microsoft/terminal,2932,2017-08-11,4187,136,0,C++,0.88
deepseek-ai/DeepSeek-V3,238,2024-12-26,21,1,0,Python,0.95
angular/angular,3990,2014-09-18,3890,471,0,TypeScript,0.95
fatedier/frp,3531,2015-12-21,683,106,0,Go,0.98
papers-we-love/papers-we-love,4267,2013-12-15,437,0,0,Shell,1.0
Hack-with-Github/Awesome-Hacking,3431,2016-03-30,34,0,0,Unknown,0
mui/material-ui,4021,2014-08-18,20803,547,0,TypeScript,0.92
iptv-org/iptv,2472,2018-11-14,6670,0,0,TypeScript,0.97
rustdesk/rustdesk,1788,2020-09-28,3637,31,0,Rust,0.98
tauri-apps/tauri,2231,2019-07-13,5166,1000,0,Rust,0.8
ant-design/ant-design,3772,2015-04-24,15769,714,0,TypeScript,0.96
microsoft/generative-ai-for-beginners,794,2023-06-19,388,0,0,Jupyter Notebook,0.94
nvbn/thefuck,3788,2015-04-08,481,17,0,Python,0.62
ryanmcdermott/clean-code-javascript,3191,2016-11-25,149,0,0,JavaScript,0.69
shadcn-ui/ui,960,2023-01-04,636,52,0,TypeScript,0.71
Anduin2017/HowToCook,2000,2020-02-29,586,4,0,Dockerfile,0.44
pytorch/pytorch,3295,2016-08-13,6193,61,0,Python,0.71
iluwatar/java-design-patterns,4030,2014-08-09,1507,0,0,Java,0.87
neovim/neovim,4220,2014-01-31,16137,45,0,Vim Script,0.87
puppeteer/puppeteer,3026,2017-05-09,5422,560,0,TypeScript,0.96
microsoft/Web-Dev-For-Beginners,1745,2020-11-10,517,0,0,JavaScript,0.73
deepseek-ai/DeepSeek-R1,213,2025-01-20,9,1,0,Unknown,0.94
PanJiaChen/vue-element-admin,3048,2017-04-17,311,49,0,Vue,0.65
tailwindlabs/tailwindcss,2876,2017-10-06,3070,290,0,TypeScript,0.98
fastapi/fastapi,2448,2018-12-08,2738,208,0,Python,0.99
mtdvio/every-programmer-should-know,2919,2017-08-24,99,0,0,Unknown,0.44
storybookjs/storybook,3443,2016-03-18,11483,1000,0,TypeScript,0.85
supabase/supabase,2140,2019-10-12,12937,22,0,TypeScript,0.95
jaywcjlove/awesome-mac,3322,2016-07-17,991,12,0,JavaScript,0.76
openai/whisper,1070,2022-09-16,119,13,0,Python,0
nvm-sh/nvm,5607,2010-04-15,729,70,0,Shell,0.86
comfyanonymous/ComfyUI,947,2023-01-17,1196,73,0,Python,0.59
ChatGPTNextWeb/NextChat,895,2023-03-10,889,77,0,TypeScript,0.81
2dust/v2rayN,2214,2019-07-30,273,264,0,C#,1.0
ggml-org/llama.cpp,895,2023-03-10,5514,1000,0,C++,0.94
bitcoin/bitcoin,5359,2010-12-19,15512,56,0,C++,0.95
florinpop17/app-ideas,2369,2019-02-25,149,0,0,Unknown,0.26
django/django,4863,2012-04-28,9859,0,0,Python,0
sveltejs/svelte,3196,2016-11-20,5988,510,0,JavaScript,0.9
gin-gonic/gin,4083,2014-06-16,1114,27,0,Go,0.72
opencv/opencv,4781,2012-07-19,13085,66,0,C++,0.77
gohugoio/hugo,4431,2013-07-04,2957,337,0,Go,0.94
mermaid-js/mermaid,3945,2014-11-01,2438,162,0,TypeScript,0.62
gothinkster/realworld,3464,2016-02-26,433,0,0,TypeScript,0.93
animate-css/animate.css,5062,2011-10-12,315,22,0,CSS,0.96
laravel/laravel,5188,2011-06-08,1641,198,0,Blade,0
macrozheng/mall,2696,2018-04-04,1,3,0,Java,0.98
DigitalPlatDev/FreeDomain,448,2024-05-30,0,0,0,HTML,0
home-assistant/core,4356,2013-09-17,75781,1000,0,Python,0.96
tonsky/FiraCode,3936,2014-11-11,137,29,0,Clojure,0.7
oven-sh/bun,1590,2021-04-14,5969,196,0,Zig,0.63
3b1b/manim,3805,2015-03-22,642,13,0,Python,0.63
spring-projects/spring-boot,4689,2012-10-19,42,320,0,Java,0.99
doocs/advanced-java,2511,2018-10-06,88,1,0,Java,0.99
x1xhlol/system-prompts-and-models-of-ai-tools,169,2025-03-05,23,0,0,Unknown,0.53
bregman-arie/devops-exercises,2149,2019-10-03,302,0,0,Python,0.65
tensorflow/models,3485,2016-02-05,2341,50,0,Python,0.85
MunGell/awesome-for-beginners,3589,2015-10-24,453,0,0,Unknown,0.94
microsoft/ML-For-Beginners,1632,2021-03-03,374,0,0,HTML,0.96
DopplerHQ/awesome-interview-questions,3554,2015-11-28,175,0,0,Unknown,0.56
nomic-ai/gpt4all,878,2023-03-27,934,38,0,C++,0.68
MisterBooo/LeetCodeAnimation,2450,2018-12-06,63,0,0,Java,0.68
microsoft/playwright,2106,2019-11-15,15066,151,0,TypeScript,0.95
netdata/netdata,4448,2013-06-17,10930,120,0,C,0.98
FortAwesome/Font-Awesome,4934,2012-02-17,212,60,0,JavaScript,0.81
fighting41love/funNLP,2557,2018-08-21,14,0,0,Python,0.58
ByteByteGoHq/system-design-101,703,2023-09-18,23,0,0,Unknown,0.31
syncthing/syncthing,4286,2013-11-26,2755,439,0,Go,0.94
anuraghazra/github-readme-stats,1869,2020-07-09,1303,0,0,JavaScript,0.85
vitejs/vite,1948,2020-04-21,5586,598,0,TypeScript,0.94
typicode/json-server,4285,2013-11-27,121,38,0,JavaScript,0.47
unionlabs/union,828,2023-05-16,2758,95,0,Rust,0.87
ruanyf/weekly,2504,2018-10-13,101,0,0,Unknown,0.15
immich-app/immich,1295,2022-02-03,7151,260,0,TypeScript,0.91
elastic/elasticsearch,5673,2010-02-08,80542,202,0,Java,0.89
hoppscotch/hoppscotch,2192,2019-08-21,1869,83,0,TypeScript,0.76
louislam/uptime-kuma,1510,2021-07-03,1317,111,0,JavaScript,0.83
coder/code-server,2367,2019-02-27,1576,200,0,TypeScript,0.96
vuejs/awesome-vue,3593,2015-10-20,3574,0,0,Unknown,0.83
junegunn/fzf,4320,2013-10-23,595,70,0,Go,0.92
sdmg15/Best-websites-a-programmer-should-visit,3091,2017-03-05,431,0,0,Unknown,0.59
hacksider/Deep-Live-Cam,697,2023-09-24,85,8,0,Python,0.93
nestjs/nest,3120,2017-02-04,7407,131,0,TypeScript,0.99
microsoft/markitdown,281,2024-11-13,147,14,0,Python,0.21
d2l-ai/d2l-zh,2920,2017-08-23,1019,16,0,Python,0
CompVis/stable-diffusion,1107,2022-08-10,5,0,0,Jupyter Notebook,0.27
clash-verge-rev/clash-verge-rev,639,2023-11-21,320,50,0,TypeScript,0.97
google-gemini/gemini-cli,126,2025-04-17,1908,46,0,TypeScript,0.57
abi/screenshot-to-code,646,2023-11-14,49,0,0,Python,0.73
thedaviddias/Front-End-Checklist,2866,2017-10-16,179,1,0,Unknown,0.99
redis/redis,5997,2009-03-21,4162,96,0,C,0.68
moby/moby,4598,2013-01-18,21482,237,0,Go,0.86
pallets/flask,5616,2010-04-06,1613,37,0,Python,1.0
ventoy/Ventoy,1990,2020-03-10,280,105,0,C,0.66
Developer-Y/cs-video-courses,3226,2016-10-21,234,0,0,Unknown,0
grafana/grafana,4271,2013-12-11,56758,550,0,TypeScript,0.92
enaqx/awesome-react,4033,2014-08-06,780,0,0,Unknown,0.96
hakimel/reveal.js,5189,2011-06-07,409,49,0,JavaScript,0.69
josephmisiti/awesome-machine-learning,4055,2014-07-15,872,0,0,Python,1.0
swisskyrepo/PayloadsAllTheThings,3229,2016-10-18,548,5,0,Python,0
strapi/strapi,3613,2015-09-30,9123,478,0,TypeScript,0.91
binary-husky/gpt_academic,885,2023-03-20,223,32,0,Python,0.85
tesseract-ocr/tesseract,4027,2014-08-12,1411,34,0,C++,0.84
swiftlang/swift,3590,2015-10-23,55442,60,0,C++,0.56
protocolbuffers/protobuf,4013,2014-08-26,7781,195,0,C++,0.96
python/cpython,3114,2017-02-10,52796,0,0,Python,0.9
base/node,932,2023-02-01,186,54,0,Go,0.79
browser-use/browser-use,294,2024-10-31,986,74,0,Python,0.52
sherlock-project/sherlock,2432,2018-12-24,642,1,0,Python,0.9
ocornut/imgui,4049,2014-07-21,405,114,0,C++,0.85
apache/superset,3684,2015-07-21,14838,232,0,TypeScript,0.96
expressjs/express,5900,2009-06-26,460,160,0,JavaScript,0.97
openai/openai-cookbook,1259,2022-03-11,863,0,0,Jupyter Notebook,0.93
Alvin9999/new-pac,3438,2016-03-23,0,0,0,Python,0.75
punkpeye/awesome-mcp-servers,264,2024-11-30,920,0,0,Unknown,0.73
rasbt/LLMs-from-scratch,760,2023-07-23,388,0,0,Jupyter Notebook,0.98
PKUFlyingPig/cs-self-learning,1401,2021-10-20,297,5,0,HTML,0.5
chartjs/Chart.js,4539,2013-03-17,3002,116,0,JavaScript,0.94
obsproject/obs-studio,4342,2013-10-01,5225,223,0,C,0.85
caddyserver/caddy,3873,2015-01-13,2123,128,0,Go,0.96
localsend/localsend,979,2022-12-16,667,24,0,Dart,0.45
ansible/ansible,4916,2012-03-06,39192,162,0,Python,0.98
fffaraz/awesome-cpp,4053,2014-07-17,800,0,0,Unknown,0.41
Eugeny/tabby,3163,2016-12-23,1489,200,0,TypeScript,0.6
leonardomso/33-js-concepts,2543,2018-09-04,252,0,0,JavaScript,0.79
webpack/webpack,4912,2012-03-10,5108,438,0,JavaScript,0.99
astral-sh/uv,689,2023-10-02,7201,209,0,Rust,0.74
nektos/act,2423,2019-01-02,1049,88,0,Go,0.83
modelcontextprotocol/servers,275,2024-11-19,868,19,0,TypeScript,0.72
