Repository,Age (days),Created Date,Accepted PRs,Releases,Days Since Update,Primary Language,Closed Issues Ratio
danielmiessler/SecLists,4932,2012-02-19,681,28,0,PHP,0.98
AppFlowy-IO/AppFlowy,1527,2021-06-16,3886,111,0,Dart,0.73
xtekky/gpt4free,876,2023-03-29,817,331,0,Python,1.0
lydiahallie/javascript-questions,2262,2019-06-12,328,0,0,Unknown,0.93
lobehub/lobe-chat,823,2023-05-21,2509,1000,0,TypeScript,0.79
binhnguyennus/awesome-scalability,2794,2017-12-27,36,0,0,Unknown,0
Stirling-Tools/Stirling-PDF,937,2023-01-27,2217,135,0,Java,0.77
apache/echarts,4523,2013-04-03,1446,122,0,TypeScript,0.9
kdn251/interviews,3110,2017-02-14,42,0,0,Java,0.43
zed-industries/zed,1643,2021-02-20,16359,967,0,Rust,0.81
awesomedata/awesome-public-datasets,3927,2014-11-20,188,1,0,Unknown,0.41
jesseduffield/lazygit,2651,2018-05-19,1690,169,0,Go,0.7
kelseyhightower/nocode,2752,2018-02-06,1,1,0,Dockerfile,0.15
twitter/the-algorithm,878,2023-03-27,2,0,0,Scala,0.72
keras-team/keras,3799,2015-03-28,4241,80,0,Python,0.98
juliangarnier/anime,3448,2016-03-13,79,22,0,JavaScript,0.91
scikit-learn/scikit-learn,5483,2010-08-17,13458,47,0,Python,0.86
infiniflow/ragflow,618,2023-12-12,3734,31,0,TypeScript,0.46
bradtraversy/design-resources-for-developers,1933,2020-05-06,949,0,0,Unknown,1.0
TheAlgorithms/Java,3323,2016-07-16,2018,0,0,Java,0.99
labmlai/annotated_deep_learning_paper_implementations,1822,2020-08-25,101,0,0,Python,0.82
resume/resume.github.com,5310,2011-02-06,84,0,0,JavaScript,0.54
chrislgarry/Apollo-11,4158,2014-04-03,343,0,0,Assembly,0.85
All-Hands-AI/OpenHands,526,2024-03-13,5120,76,0,Python,0.9
prakhar1989/awesome-courses,3932,2014-11-15,194,0,0,Unknown,0.49
socketio/socket.io,5642,2010-03-11,435,75,0,TypeScript,0.95
sindresorhus/awesome-nodejs,4059,2014-07-11,418,0,0,Unknown,0.98
FuelLabs/sway,1675,2021-01-19,3498,178,0,Rust,0.74
facebook/docusaurus,2984,2017-06-20,5482,151,0,TypeScript,0.91
reduxjs/redux,3736,2015-05-29,1720,78,0,TypeScript,0.98
Shubhamsaboo/awesome-llm-apps,479,2024-04-29,132,0,0,Python,0.94
dair-ai/Prompt-Engineering-Guide,979,2022-12-16,338,0,0,MDX,0.32
lodash/lodash,4884,2012-04-07,581,2,0,JavaScript,0.98
atom/atom,4962,2012-01-20,3933,538,0,JavaScript,0.94
h5bp/Front-end-Developer-Interview-Questions,4942,2012-02-09,484,0,0,Nunjucks,0.81
xingshaocheng/architect-awesome,2694,2018-04-06,49,0,0,Unknown,0.31
openinterpreter/open-interpreter,769,2023-07-14,369,48,0,Python,0.78
localstack/localstack,3222,2016-10-25,6233,94,0,Python,0.96
alacritty/alacritty,3472,2016-02-18,1888,101,0,Rust,0.95
prometheus/prometheus,4653,2012-11-24,7633,341,0,Go,0.92
adam-p/markdown-here,4848,2012-05-13,27,17,0,JavaScript,0.52
mlabonne/llm-course,796,2023-06-17,1,0,0,Unknown,0.36
rust-lang/rustlings,3628,2015-09-15,915,46,0,Rust,0.94
NationalSecurityAgency/ghidra,2365,2019-03-01,521,45,0,Java,0.73
jquery/jquery,5984,2009-04-03,812,11,0,JavaScript,0.97
ryanoasis/nerd-fonts,3912,2014-12-05,550,38,0,CSS,0.97
shadowsocks/shadowsocks-windows,4602,2013-01-14,290,55,0,C#,0.94
tldr-pages/tldr,4274,2013-12-08,14700,6,0,Markdown,0.88
angular/angular.js,5706,2010-01-06,789,0,0,JavaScript,0.96
spring-projects/spring-framework,5370,2010-12-08,871,341,0,Java,0.99
meta-llama/llama,919,2023-02-14,53,0,0,Python,0.59
scrapy/scrapy,5659,2010-02-22,2392,43,0,Python,0.85
FoundationAgents/MetaGPT,783,2023-06-30,660,22,0,Python,0.99
nuxt/nuxt,3221,2016-10-26,6902,256,0,TypeScript,0.95
youngyangyang04/leetcode-master,2077,2019-12-14,2306,0,0,Shell,0.24
gorhill/uBlock,3795,2015-04-01,252,277,0,JavaScript,1.0
FuelLabs/fuel-core,1820,2020-08-27,1553,123,0,Rust,0.87
rails/rails,6341,2008-04-11,25153,149,0,Ruby,0.97
h5bp/html5-boilerplate,5688,2010-01-24,790,34,0,JavaScript,0.99
Solido/awesome-flutter,3028,2017-05-07,444,0,0,Dart,0
hiyouga/LLaMA-Factory,816,2023-05-28,691,34,0,Python,0.92
nocodb/nocodb,2853,2017-10-29,5290,174,0,TypeScript,0.85
zylon-ai/private-gpt,842,2023-05-02,224,10,0,Python,0.79
scutan90/DeepLearning-500-questions,2612,2018-06-27,302,0,0,JavaScript,0.42
jgraph/drawio-desktop,3010,2017-05-25,20,159,0,JavaScript,0.96
soimort/you-get,4749,2012-08-20,582,123,0,Python,0
FiloSottile/mkcert,2614,2018-06-25,52,14,0,Go,0.69
traefik/traefik,3630,2015-09-13,4702,481,0,Go,0.9
git/git,6238,2008-07-23,3,0,0,C,0
PlexPt/awesome-chatgpt-prompts-zh,983,2022-12-12,33,0,0,Unknown,0.6
vllm-project/vllm,924,2023-02-09,8707,73,0,Python,0.82
gatsbyjs/gatsby,3745,2015-05-21,18184,149,0,JavaScript,0.98
commaai/openpilot,3192,2016-11-24,11777,58,0,Python,0.96
azl397985856/leetcode,2701,2018-03-30,257,40,0,JavaScript,0.96
topjohnwu/Magisk,3269,2016-09-08,1617,151,0,Kotlin,0.99
remix-run/react-router,4115,2014-05-16,3191,310,0,TypeScript,0.99
ageitgey/face_recognition,3093,2017-03-03,94,2,0,Python,0.43
ultralytics/yolov5,1921,2020-05-18,2206,10,0,Python,0.97
CorentinJ/Real-Time-Voice-Cloning,2279,2019-05-26,48,0,0,Python,0.81
AntonOsika/gpt-engineer,845,2023-04-29,350,20,0,Python,0.94
minio/minio,3872,2015-01-14,9854,519,0,Go,1.0
BurntSushi/ripgrep,3450,2016-03-11,516,72,0,Rust,0.92
toeverything/AFFiNE,1117,2022-07-31,8710,572,0,TypeScript,0.91
deepfakes/faceswap,2802,2017-12-19,357,4,0,Python,0.96
pmndrs/zustand,2326,2019-04-09,808,98,0,TypeScript,1.0
ElemeFE/element,3274,2016-09-03,3231,145,0,Vue,0.85
sharkdp/bat,2679,2018-04-21,1465,41,0,Rust,0.78
lencx/ChatGPT,988,2022-12-07,123,34,0,Rust,0.3
golang-standards/project-layout,2903,2017-09-09,90,0,0,Makefile,0.39
wasabeef/awesome-android-ui,3893,2014-12-24,90,0,0,Unknown,0.82
Textualize/rich,2111,2019-11-10,836,170,0,Python,0.86
necolas/normalize.css,5223,2011-05-04,56,0,0,CSS,0.89
Z4nzu/hackingtool,1958,2020-04-11,56,0,0,Python,0.86
psf/requests,5303,2011-02-13,1591,14,0,Python,0.95
maybe-finance/maybe,598,2024-01-01,1073,28,0,Ruby,0
pi-hole/pi-hole,4092,2014-06-08,2106,118,0,Shell,0.99
withastro/astro,1620,2021-03-15,7323,1000,0,TypeScript,0.97
PaddlePaddle/PaddleOCR,1931,2020-05-08,2959,24,0,Python,0.99
meilisearch/meilisearch,2677,2018-04-23,2148,266,0,Rust,0.91
FFmpeg/FFmpeg,5243,2011-04-14,16,0,0,C,0
appwrite/appwrite,2327,2019-04-08,3842,112,0,TypeScript,0.85
rclone/rclone,4176,2014-03-16,2117,114,0,Go,0.83
rust-unofficial/awesome-rust,4053,2014-07-17,1568,0,0,Rust,0.93
tiimgreen/github-cheat-sheet,4149,2014-04-12,129,0,0,Unknown,0.68
ionic-team/ionic-framework,4384,2013-08-20,6303,914,0,TypeScript,0.97
google/material-design-icons,3970,2014-10-08,50,16,0,Unknown,0.76
wagoodman/dive,2657,2018-05-13,164,28,0,Go,0.56
mozilla/pdf.js,5231,2011-04-26,8090,76,0,JavaScript,0.96
facebookresearch/segment-anything,882,2023-03-23,15,0,0,Jupyter Notebook,0.25
vuejs/core,2627,2018-06-12,3234,246,0,TypeScript,0.88
unclecode/crawl4ai,469,2024-05-09,89,8,0,Python,0.81
sickcodes/Docker-OSX,1904,2020-06-04,107,0,0,Shell,0.42
Semantic-Org/Semantic-UI,4518,2013-04-08,355,154,0,JavaScript,0.84
JetBrains/kotlin,4938,2012-02-13,2064,266,0,Kotlin,0
ngosang/trackerslist,3406,2016-04-24,1,0,0,Unknown,0.99
google/guava,4102,2014-05-29,1013,56,0,Java,0.83
marktext/marktext,2839,2017-11-12,939,36,0,JavaScript,0.56
laurent22/joplin,3139,2017-01-16,4403,385,0,TypeScript,0.92
OpenBB-finance/OpenBB,1705,2020-12-20,4114,46,0,Python,0.98
prettier/prettier,3187,2016-11-29,8872,127,0,JavaScript,0.82
starship/starship,2333,2019-04-02,2900,135,0,Rust,0.71
romkatv/powerlevel10k,2370,2019-02-24,167,33,0,Shell,0.96
firecrawl/firecrawl,493,2024-04-15,812,23,0,TypeScript,0.78
jekyll/jekyll,6149,2008-10-20,3188,112,0,Ruby,0.98
xai-org/grok-1,522,2024-03-17,5,0,0,Python,0
TryGhost/Ghost,4492,2013-05-04,14275,902,0,JavaScript,0.99
go-gitea/gitea,3215,2016-11-01,17775,216,0,Go,0.83
DefinitelyTyped/DefinitelyTyped,4703,2012-10-05,52111,1,0,TypeScript,0.93
RVC-Boss/GPT-SoVITS,585,2024-01-14,338,4,0,Python,0.62
WerWolv/ImHex,1745,2020-11-10,671,80,0,C++,0.83
etcd-io/etcd,4429,2013-07-06,9790,259,0,Go,0.97
pocketbase/pocketbase,1143,2022-07-05,53,220,0,Go,0.99
firstcontributions/first-contributions,3257,2016-09-20,86099,0,0,Unknown,0.97
chinese-poetry/chinese-poetry,3275,2016-09-02,137,1,0,JavaScript,0.44
jgthms/bulma,3498,2016-01-23,642,22,0,CSS,0.88
vsouza/awesome-ios,4060,2014-07-10,2233,0,0,Swift,1.0
ethereum/go-ethereum,4256,2013-12-26,8248,219,0,Go,0.98
cline/cline,411,2024-07-06,1656,146,0,TypeScript,0.78
poteto/hiring-without-whiteboards,3081,2017-03-15,1300,0,0,JavaScript,0
FoundationAgents/OpenManus,168,2025-03-06,106,3,0,Python,0.44
microsoft/autogen,734,2023-08-18,2499,97,0,Python,0.86
agalwood/Motrix,2438,2018-12-18,192,21,0,JavaScript,0.44
mastodon/mastodon,3468,2016-02-22,17707,289,0,Ruby,0.67
cypress-io/cypress,3823,2015-03-04,7366,373,0,TypeScript,0.91
justjavac/awesome-wechat-weapp,3255,2016-09-22,277,0,0,Unknown,0
Asabeneh/30-Days-Of-Python,2102,2019-11-19,61,0,0,Python,0.59
NARKOZ/hacker-scripts,3561,2015-11-21,63,0,0,JavaScript,0.6
AlistGo/alist,1702,2020-12-23,860,137,0,Go,0.87
ReactiveX/RxJava,4608,2013-01-08,3328,241,0,Java,1.0
PowerShell/PowerShell,3508,2016-01-13,7549,186,0,C#,0.92
dani-garcia/vaultwarden,2742,2018-02-17,993,73,0,Rust,1.0
Mintplex-Labs/anything-llm,809,2023-06-04,1072,20,0,JavaScript,0.91
iamkun/dayjs,2690,2018-04-10,694,119,0,JavaScript,0.48
moment/moment,5287,2011-03-01,714,0,0,JavaScript,0.94
Avik-Jain/100-Days-Of-ML-Code,2604,2018-07-05,6,0,0,Unknown,0
charlax/professional-programming,3575,2015-11-07,39,0,0,Python,1.0
algorithm-visualizer/algorithm-visualizer,3385,2016-05-15,183,0,0,JavaScript,0.64
JuliaLang/julia,5236,2011-04-21,25817,181,0,Julia,0.84
TapXWorld/ChinaTextbook,2055,2020-01-05,1,0,0,Roff,0.47
minimaxir/big-list-of-naughty-strings,3666,2015-08-08,90,0,0,Python,0.32
huginn/huginn,4547,2013-03-10,1043,1,0,Ruby,0.72
nlohmann/json,4431,2013-07-04,900,45,0,C++,0.98
LadybirdBrowser/ladybird,448,2024-05-30,4234,0,0,C++,0.56
serverless/serverless,3775,2015-04-21,4717,454,0,JavaScript,0.83
gogs/gogs,4208,2014-02-12,1766,84,0,Go,0.82
karan/Projects,4431,2013-07-04,19,0,0,Unknown,0.42
kamranahmedse/design-patterns-for-humans,3108,2017-02-16,50,0,0,Unknown,0.9
x64dbg/x64dbg,3785,2015-04-11,744,4,0,C++,0.77
square/okhttp,4777,2012-07-23,3764,0,0,Kotlin,0.99
typescript-cheatsheets/react,2637,2018-06-02,370,0,0,JavaScript,0.99
pandas-dev/pandas,5476,2010-08-24,26920,112,0,Python,0.87
TanStack/query,2172,2019-09-10,2894,1000,0,TypeScript,0.97
type-challenges/type-challenges,1855,2020-07-23,588,0,0,TypeScript,0.11
v2ray/v2ray-core,3639,2015-09-04,203,247,0,Go,1.0
hashicorp/terraform,4179,2014-03-13,12787,378,0,Go,0.92
dkhamsing/open-source-ios-apps,3860,2015-01-26,1409,37,0,Unknown,1.0
ziishaned/learn-regex,2952,2017-07-22,131,0,0,Unknown,0.4
lllyasviel/Fooocus,743,2023-08-09,447,21,0,Python,0.87
slab/quill,4770,2012-07-30,381,95,0,TypeScript,0.87
